ACCESSION;ORGANISM;COUNTRY;COLLECTION_DATE;COLLECTED_BY;SPECIMEN_VOUCHER
MG590277.1;Goura sclaterii;Papua New Guinea: Fly River, southern entrance;1877;V. d'Albertis;NHMUK:1889.2.12.420
MG590267.1;Goura cristata;Indonesia: Rubi;1873;A.B. Meyer;NHMUK:1889.2.10.492
KY974344.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590291.1;Goura victoria;Indonesia: Kordo;1873;A.B. Meyer;NHMUK:1889.2.12.423
KY974350.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590269.1;Goura cristata;Indonesia: Waigeo Island;1902;J. Waterstradt;NHMUK:1904.4.23.1
MF595516.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590288.1;Goura sclaterii;Indonesia: Okaba;n/a;n/a;MZB:29747
KY974358.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
KY974347.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
NC_027947.1;Goura scheepmakeri;Papua New Guinea:Port Moresby;1879;n/a;BMNH:89.2.12.421
MG590287.1;Goura sclaterii;Indonesia: Brazza River;n/a;n/a;MZB:28858
KY974352.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
KY974363.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
KY974354.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
KY974341.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
MG590275.1;Goura cristata;Indonesia: Lengguru River, Triton Bay;2014;H. Ashari;MZB:LGR-095
KU158192.1;Ectopistes migratorius;n/a;n/a;n/a;n/a
